url_length,domain_length,path_length,num_dots,num_hyphens,num_subdomains,has_https,has_ip,has_at_symbol,num_special_chars,digits_in_domain,suspicious_tld,has_login,has_verify,has_secure,has_account,has_update,has_query,label
33,9,8,2,0,2,1,0,0,3,0,0,0,0,0,1,0,1,0
33,16,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
93,44,15,4,2,4,0,0,0,5,0,1,0,1,0,1,1,1,1
64,41,15,3,2,3,1,0,0,1,0,1,0,0,0,1,0,0,1
28,14,6,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
56,34,15,5,0,5,0,0,0,1,0,1,0,1,0,1,0,0,1
101,52,14,6,0,6,1,0,0,5,0,1,0,0,1,1,1,1,1
73,24,15,3,0,3,0,0,0,5,0,1,0,0,0,0,0,1,1
36,14,15,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
29,13,8,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
27,11,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
28,15,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
37,15,6,2,0,2,1,0,0,3,0,0,1,0,0,0,0,1,0
25,11,6,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
54,34,13,2,2,2,0,0,0,1,0,1,1,0,1,0,0,0,1
65,42,15,5,0,5,1,0,0,1,0,1,0,1,0,1,0,0,1
29,15,6,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0
28,12,8,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
26,14,4,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
63,42,13,4,0,4,1,0,0,1,0,1,1,1,1,0,0,0,1
25,16,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
37,14,16,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
28,15,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
